전/월세,보증금,월세,공급면적,전용면적,층,남향
1,18000,0,18,18,6,0
1,17000,0,42,40,3,0
1,18500,0,26,18,5,0
0,1000,45,50,23,3,0
0,1000,45,50,31,3,0
1,28000,0,56,34,5,1
0,15000,50,58,49,4,1
0,1000,45,50,19,3,0
0,1000,45,50,23,3,0
0,1000,100,50,46,5,0
1,18000,0,27,18,5,0
0,2000,90,42,42,3,0
0,0,52,20,20,2,0
1,19000,0,50,41,3,1
0,2000,90,36,27,5,0
0,1000,45,35,30,5,1
0,1000,65,36,36,2,0
1,18000,0,24,17,5,1
0,25000,10,52,41,4,0
0,25000,25,32,26,5,0
1,23000,0,50,40,5,1
1,37000,0,27,27,5,0
0,5000,55,39,33,4,0
1,27560,0,36,29,5,0
1,42000,0,35,29,6,0
1,41000,0,34,29,5,0
1,41000,0,34,29,5,0
1,45000,0,38,31,5,0
1,41000,0,34,29,5,0
0,3000,50,33,33,2,1
1,37000,0,35,29,5,0
1,45000,0,56,48,7,0
1,36500,0,35,29,5,0
1,37000,0,35,29,5,0
1,28000,0,22,18,5,0
1,39000,0,33,27,6,0
0,12000,64,31,25,5,1
1,42000,0,34,29,5,0
1,42000,0,42,29,5,0
0,2000,50,16,12,5,0
1,45000,0,56,48,7,0
0,10000,58,44,33,5,0
1,20000,0,24,16,6,0
1,26000,0,50,40,5,0
1,42000,0,30,26,5,0
1,21000,0,24,20,5,0
1,36500,0,35,29,5,0
1,43000,0,35,29,5,0
1,26000,0,48,40,5,0
1,26000,0,48,40,5,0
1,44000,0,36,32,5,0
0,10000,58,45,33,5,0
0,20000,50,36,36,4,0
1,30000,0,36,36,4,0
1,45000,0,56,48,7,0
1,28000,0,22,18,5,0
1,13500,0,20,15,5,0
1,17700,0,35,35,2,1
1,26000,0,48,40,5,0
1,26000,0,50,40,5,0
1,39000,0,35,27,6,0
1,25000,0,50,40,5,0
1,17700,0,35,35,2,1
1,28000,0,22,18,5,1
1,42000,0,35,29,6,0
1,45000,0,56,48,7,0
0,15000,40,39,36,3,1
1,18000,0,27,23,5,1
1,36500,0,35,29,5,0
1,32000,0,31,25,6,0
0,10000,100,39,39,4,0
1,42000,0,34,29,5,1
1,17700,0,35,35,2,0
1,32000,0,31,22,5,0
1,45000,0,35,29,5,0
1,42000,0,35,29,5,0
0,1000,45,33,23,3,0
1,15000,0,34,26,4,0
1,26000,0,36,29,5,0
0,12000,55,71,35,3,1
1,35000,0,34,27,5,0
0,1000,55,76,36,2,1
1,45000,0,35,29,5,0
1,23700,0,26,18,6,1
1,37500,0,35,29,5,0
1,8000,0,40,39,2,1
1,41000,0,34,29,5,0
1,42000,0,42,29,6,0
1,32000,0,32,25,6,0
1,45000,0,37,29,6,0
1,36500,0,35,29,5,0
1,36000,0,59,27,5,0
0,12000,30,50,19,4,0
0,1000,68,31,27,5,1
1,22000,0,40,35,3,0
1,35000,0,34,27,5,0
0,12000,59,31,25,5,0
1,40000,0,34,29,5,1
1,43000,0,53,28,5,0
1,43000,0,52,28,5,0
1,32000,0,26,25,6,0
1,9000,0,34,26,4,1
0,12000,64,91,25,5,1
0,3000,60,28,26,6,0
0,15000,20,35,30,3,0
1,36500,0,35,29,5,0
1,36500,0,35,29,5,0
1,28000,0,40,35,2,1
1,18000,0,40,35,2,0
1,39000,0,40,27,6,1
1,17700,0,35,35,2,1
1,20000,0,38,28,6,0
1,42000,0,34,29,5,0
1,37000,0,35,29,5,0
1,37500,0,35,29,5,1
1,32000,0,31,25,6,0
1,42000,0,34,29,5,0
1,19400,0,26,23,5,0
1,42000,0,42,29,5,0
1,39000,0,35,27,6,0
1,36500,0,31,29,5,0
1,42000,0,34,29,5,0
1,22000,0,41,34,5,0
1,17700,0,35,35,2,1
1,35000,0,34,27,5,0
0,15000,20,35,30,3,0
1,36000,0,34,27,5,0
1,43000,0,35,29,5,0
1,45000,0,37,29,6,0
0,15000,40,71,35,3,0
1,17700,0,35,35,2,1
1,23000,0,49,49,3,0
1,37500,0,29,29,5,0
1,24000,0,23,16,6,1
1,36500,0,35,29,5,0
1,43000,0,37,28,5,0
0,12000,25,20,16,5,0
1,35000,0,34,27,5,0
1,42000,0,34,29,5,0
1,24000,0,23,16,6,0
0,11000,35,39,32,4,0
1,23000,0,49,49,2,1
1,19900,0,70,35,2,0
1,43000,0,48,28,5,1
0,12000,20,50,13,5,0
1,36500,0,40,29,5,0
1,36500,0,35,29,5,0
1,32000,0,40,25,6,0
1,22000,0,32,27,5,0
1,32000,0,38,27,5,0
0,21000,50,49,46,4,0
1,37000,0,59,29,5,0
1,31000,0,36,36,4,0
1,21000,0,35,30,5,0
1,42000,0,40,29,5,0
1,28000,0,36,29,5,0
1,42000,0,59,28,5,0
1,35000,0,59,27,5,0
1,28000,0,36,29,5,0
1,29000,0,39,18,5,0
1,36500,0,59,29,5,0
1,22000,0,41,34,5,0
0,12000,30,26,19,4,0
1,28000,0,22,18,5,0
